"name","affiliation","citedby","email","interests","url_picture"
"Nelson Piedra","Universidad Técnica Particular de Loja",727,"@utpl.edu.ec","['Interoperability', 'Semantic Web', 'Artificial Intelligence']","https://scholar.google.com/citations?view_op=medium_photo&user=9iSWka8AAAAJ"
"Zachary Nelson","Proyecto Piedras Negras",291,"","['Ancient Maya', 'Mesoamerica']","https://scholar.google.com/citations?view_op=medium_photo&user=rpTHn-sAAAAJ"
