"link"|"datasetFolder"|"datasetDescription"|"title"|"dsFeatures"|"numberObs"|"area"|"atributeType"|"numberAttr"|"dateDonated"|"missingValues"|"numberWebHits"|"image"
"http://archive.ics.uci.edu/ml/datasets/Victorian+Era+Authorship+Attribution"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00454/"|"http://archive.ics.uci.edu/ml/datasets/Victorian+Era+Authorship+Attribution#"|"Victorian Era Authorship Attribution Data Set"|"Text"|"93600"|"Computer"|"N/A"|"1000"|"2018-05-31"|"N/A"|"10867"|""
"http://archive.ics.uci.edu/ml/datasets/Internet+Usage+Data"|"http://archive.ics.uci.edu/ml/machine-learning-databases/internet_usage-mld/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/internet_usage-mld/internet_usage.data.html"|"Internet Usage Data Data Set"|"Multivariate"|"10104"|"Computer"|"Categorical, Integer"|"72"|"1999-06-30"|"No"|"99978"|""
"http://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs"|"http://archive.ics.uci.edu/ml/machine-learning-databases/auslan-mld/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/auslan-mld/auslan.data.html"|"Australian Sign Language signs Data Set"|"Multivariate, Time-Series"|"6650"|"N/A"|"Categorical, Real"|"15"|"1999-04-20"|"N/A"|"87525"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large114.jpg"
"http://archive.ics.uci.edu/ml/datasets/Gas+sensors+for+home+activity+monitoring"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00362/"|"http://archive.ics.uci.edu/ml/datasets/Gas+sensors+for+home+activity+monitoring#"|"Gas sensors for home activity monitoring Data Set"|"Multivariate, Time-Series"|"919438"|"Computer"|"Real"|"11"|"2016-07-15"|"N/A"|"64608"|""
"http://archive.ics.uci.edu/ml/datasets/Zoo"|"http://archive.ics.uci.edu/ml/machine-learning-databases/zoo/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/zoo/zoo.names"|"Zoo Data Set"|"Multivariate"|"101"|"Life"|"Categorical, Integer"|"17"|"1990-05-15"|"No"|"259372"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large111.jpg"
"http://archive.ics.uci.edu/ml/datasets/Dataset+for+ADL+Recognition+with+Wrist-worn+Accelerometer"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00283/"|"http://archive.ics.uci.edu/ml/datasets/Dataset+for+ADL+Recognition+with+Wrist-worn+Accelerometer#"|"Dataset for ADL Recognition with Wrist-worn Accelerometer Data Set"|"Multivariate, Time-Series"|"N/A"|"Computer"|"N/A"|"3"|"2014-02-11"|"N/A"|"66349"|""
"http://archive.ics.uci.edu/ml/datasets/Post-Operative+Patient"|"http://archive.ics.uci.edu/ml/machine-learning-databases/postoperative-patient-data/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/postoperative-patient-data/post-operative.names"|"Post-Operative Patient Data Set"|"Multivariate"|"90"|"Life"|"Categorical, Integer"|"8"|"1993-06-01"|"Yes"|"90376"|""
"http://archive.ics.uci.edu/ml/datasets/Car+Evaluation"|"http://archive.ics.uci.edu/ml/machine-learning-databases/car/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/car/car.names"|"Car Evaluation Data Set"|"Multivariate"|"1728"|"N/A"|"Categorical"|"6"|"1997-06-01"|"No"|"955648"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large19.jpg"
"http://archive.ics.uci.edu/ml/datasets/Activity+Recognition+system+based+on+Multisensor+data+fusion+%28AReM%29"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00366/"|"http://archive.ics.uci.edu/ml/datasets/Activity+Recognition+system+based+on+Multisensor+data+fusion+%28AReM%29#"|"Activity Recognition system based on Multisensor data fusion (AReM) Data Set"|"Multivariate, Sequential, Time-Series"|"42240"|"Computer"|"Real"|"6"|"2016-05-18"|"N/A"|"46267"|""
"http://archive.ics.uci.edu/ml/datasets/Tic-Tac-Toe+Endgame"|"http://archive.ics.uci.edu/ml/machine-learning-databases/tic-tac-toe/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/tic-tac-toe/tic-tac-toe.names"|"Tic-Tac-Toe Endgame Data Set"|"Multivariate"|"958"|"Game"|"Categorical"|"9"|"1991-08-19"|"No"|"201393"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large101.jpg"
