"name","affiliation","citedby","email","interests","url_picture"
"Jordi Conesa i Caralt","Coordinator of the Data Science field at the eHealth Center - Universitat Oberta de …",808,"@uoc.edu","['Analytics', 'e-Learning', 'eHealth', 'Ontologies', 'semantics']","https://scholar.google.com/citations?view_op=medium_photo&user=Qx-wNDQAAAAJ"
"Jordi Conesa Caralt","Profesor de Informática, Universitat Oberta de Catalunya",359,"@uoc.edu","","https://scholar.google.com/citations?view_op=medium_photo&user=E4_UwmwAAAAJ"
